timestamp,code,price,signal,reason,operation,status,quantity,fill_price,fill_quantity,cash,total_asset,intraday_position,avg_entry_price,realized_pnl,note
2026-08-03 11:11:00,513310,4.5270,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:12:00,513310,4.5150,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:13:00,513310,4.5160,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:14:00,513310,4.5250,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:15:00,513310,4.5220,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:16:00,513310,4.5170,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:17:00,513310,4.5220,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:18:00,513310,4.5220,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:19:00,513310,4.5270,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:20:00,513310,4.5290,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:21:00,513310,4.5230,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:22:00,513310,4.5200,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:23:00,513310,4.5160,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:24:00,513310,4.5180,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:25:00,513310,4.5190,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:26:00,513310,4.5200,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:27:00,513310,4.5020,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:28:00,513310,4.5160,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:29:00,513310,4.5190,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 11:30:00,513310,4.5180,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:01:00,513310,4.5140,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:02:00,513310,4.5260,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:03:00,513310,4.5400,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:04:00,513310,4.5280,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:05:00,513310,4.5280,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:06:00,513310,4.5180,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:07:00,513310,4.5200,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:08:00,513310,4.5160,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:09:00,513310,4.5150,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:10:00,513310,4.5180,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:11:00,513310,4.5200,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:12:00,513310,4.5180,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:13:00,513310,4.5220,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:14:00,513310,4.5190,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:15:00,513310,4.5150,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:16:00,513310,4.5130,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:17:00,513310,4.4990,hold,未到低吸区,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-08-03 13:18:00,513310,4.4820,buy,"跌破VWAP下轨: price=4.482, vwap=4.518, band=0.60%",buy,filled,700,4.4820,700,6857.60,9995.00,700,4.4891,0.00,佣金=5.00
2026-08-03 13:19:00,513310,4.4890,hold,T仓继续持有,hold,no_order,,,,6857.60,9999.90,700,4.4891,0.00,
2026-08-03 13:20:00,513310,4.4890,hold,T仓继续持有,hold,no_order,,,,6857.60,9999.90,700,4.4891,0.00,
2026-08-03 13:21:00,513310,4.4910,hold,T仓继续持有,hold,no_order,,,,6857.60,10001.30,700,4.4891,0.00,
2026-08-03 13:22:00,513310,4.4970,hold,T仓继续持有,hold,no_order,,,,6857.60,10005.50,700,4.4891,0.00,
2026-08-03 13:23:00,513310,4.4940,hold,T仓继续持有,hold,no_order,,,,6857.60,10003.40,700,4.4891,0.00,
2026-08-03 13:24:00,513310,4.4970,hold,T仓继续持有,hold,no_order,,,,6857.60,10005.50,700,4.4891,0.00,
2026-08-03 13:25:00,513310,4.4970,hold,T仓继续持有,hold,no_order,,,,6857.60,10005.50,700,4.4891,0.00,
2026-08-03 13:26:00,513310,4.5020,sell,达到日内止盈 0.45%,sell,filled,700,4.5020,700,10004.00,10004.00,,,4.00,"本笔盈亏=4.00, 成本税费=5.00"
2026-08-03 13:27:00,513310,4.4900,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:28:00,513310,4.4920,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:29:00,513310,4.4950,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:30:00,513310,4.4930,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:31:00,513310,4.4980,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:32:00,513310,4.4920,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:33:00,513310,4.4850,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:34:00,513310,4.4830,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:35:00,513310,4.4830,hold,未到低吸区,hold,no_order,,,,10004.00,10004.00,,,4.00,
2026-08-03 13:36:00,513310,4.4700,buy,"跌破VWAP下轨: price=4.470, vwap=4.498, band=0.60%",buy,filled,700,4.4700,700,6870.00,9999.00,700,4.4771,4.00,佣金=5.00
2026-08-03 13:37:00,513310,4.4720,hold,T仓继续持有,hold,no_order,,,,6870.00,10000.40,700,4.4771,4.00,
2026-08-03 13:38:00,513310,4.4860,hold,T仓继续持有,hold,no_order,,,,6870.00,10010.20,700,4.4771,4.00,
2026-08-03 13:39:00,513310,4.4820,hold,T仓继续持有,hold,no_order,,,,6870.00,10007.40,700,4.4771,4.00,
2026-08-03 13:40:00,513310,4.4790,hold,T仓继续持有,hold,no_order,,,,6870.00,10005.30,700,4.4771,4.00,
2026-08-03 13:41:00,513310,4.4810,hold,T仓继续持有,hold,no_order,,,,6870.00,10006.70,700,4.4771,4.00,
2026-08-03 13:42:00,513310,4.4790,hold,T仓继续持有,hold,no_order,,,,6870.00,10005.30,700,4.4771,4.00,
2026-08-03 13:43:00,513310,4.4790,hold,T仓继续持有,hold,no_order,,,,6870.00,10005.30,700,4.4771,4.00,
2026-08-03 13:44:00,513310,4.4830,hold,T仓继续持有,hold,no_order,,,,6870.00,10008.10,700,4.4771,4.00,
