timestamp,code,price,signal,reason,operation,status,quantity,fill_price,fill_quantity,cash,total_asset,intraday_position,avg_entry_price,realized_pnl,note
2026-07-06 10:31:00,513310,5.9250,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:32:00,513310,5.9140,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:33:00,513310,5.9190,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:34:00,513310,5.8780,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:35:00,513310,5.8560,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:36:00,513310,5.8500,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:37:00,513310,5.8420,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:38:00,513310,5.8770,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:39:00,513310,5.8930,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:40:00,513310,5.8890,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:41:00,513310,5.8670,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:42:00,513310,5.8790,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:43:00,513310,5.8560,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:44:00,513310,5.8760,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:45:00,513310,5.8610,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:46:00,513310,5.8700,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:47:00,513310,5.8670,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:48:00,513310,5.8560,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:49:00,513310,5.8430,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:50:00,513310,5.8300,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:51:00,513310,5.8320,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:52:00,513310,5.8440,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:53:00,513310,5.8620,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:54:00,513310,5.8730,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:55:00,513310,5.8950,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:56:00,513310,5.8970,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:57:00,513310,5.8600,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:58:00,513310,5.8930,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 10:59:00,513310,5.9120,hold,分钟K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 11:00:00,513310,5.9210,hold,突破确认K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 11:02:00,513310,5.9210,hold,突破确认K不足,hold,no_order,,,,10000.00,10000.00,,,0.00,
2026-07-06 11:03:00,513310,5.9290,buy,"强势收复VWAP并突破: price=5.929, vwap=5.878, prev_high=5.921",buy,filled,500,5.9290,500,7030.50,9995.00,500,5.9390,0.00,佣金=5.00
2026-07-06 11:04:00,513310,5.9670,sell,达到日内止盈 0.64%,sell,filled,500,5.9670,500,10009.00,10009.00,,,9.00,"本笔盈亏=9.00, 成本税费=5.00"
2026-07-06 11:05:00,513310,5.9980,buy,"强势收复VWAP并突破: price=5.998, vwap=5.888, prev_high=5.967",buy,filled,500,5.9980,500,7005.00,10004.00,500,6.0080,9.00,佣金=5.00
2026-07-06 11:06:00,513310,6.0290,sell,达到日内止盈 0.52%,sell,filled,500,6.0290,500,10014.50,10014.50,,,14.50,"本笔盈亏=5.50, 成本税费=5.00"
2026-07-06 11:07:00,513310,5.9940,hold,未出现VWAP收复突破,hold,no_order,,,,10014.50,10014.50,,,14.50,
2026-07-06 11:08:00,513310,5.9990,hold,未出现VWAP收复突破,hold,no_order,,,,10014.50,10014.50,,,14.50,
2026-07-06 11:09:00,513310,5.9580,hold,未出现VWAP收复突破,hold,no_order,,,,10014.50,10014.50,,,14.50,
2026-07-06 11:10:00,513310,5.9900,hold,未出现VWAP收复突破,hold,no_order,,,,10014.50,10014.50,,,14.50,
2026-07-06 11:11:00,513310,6.0250,hold,未出现VWAP收复突破,hold,no_order,,,,10014.50,10014.50,,,14.50,
2026-07-06 11:12:00,513310,6.0330,buy,"强势收复VWAP并突破: price=6.033, vwap=5.933, prev_high=6.029",buy,filled,500,6.0330,500,6993.00,10009.50,500,6.0430,14.50,佣金=5.00
2026-07-06 11:13:00,513310,6.0150,hold,T仓继续持有,hold,no_order,,,,6993.00,10000.50,500,6.0430,14.50,
2026-07-06 11:14:00,513310,6.0290,hold,T仓继续持有,hold,no_order,,,,6993.00,10007.50,500,6.0430,14.50,
2026-07-06 11:15:00,513310,6.0360,hold,T仓继续持有,hold,no_order,,,,6993.00,10011.00,500,6.0430,14.50,
2026-07-06 11:16:00,513310,6.0240,hold,T仓继续持有,hold,no_order,,,,6993.00,10005.00,500,6.0430,14.50,
2026-07-06 11:17:00,513310,6.0010,hold,T仓继续持有,hold,no_order,,,,6993.00,9993.50,500,6.0430,14.50,
2026-07-06 11:18:00,513310,6.0230,hold,T仓继续持有,hold,no_order,,,,6993.00,10004.50,500,6.0430,14.50,
2026-07-06 11:19:00,513310,6.0090,hold,T仓继续持有,hold,no_order,,,,6993.00,9997.50,500,6.0430,14.50,
2026-07-06 11:20:00,513310,6.0240,hold,T仓继续持有,hold,no_order,,,,6993.00,10005.00,500,6.0430,14.50,
2026-07-06 11:21:00,513310,6.0410,hold,T仓继续持有,hold,no_order,,,,6993.00,10013.50,500,6.0430,14.50,
2026-07-06 11:22:00,513310,6.0350,hold,T仓继续持有,hold,no_order,,,,6993.00,10010.50,500,6.0430,14.50,
2026-07-06 11:23:00,513310,6.0200,hold,T仓继续持有,hold,no_order,,,,6993.00,10003.00,500,6.0430,14.50,
2026-07-06 11:24:00,513310,6.0300,hold,T仓继续持有,hold,no_order,,,,6993.00,10008.00,500,6.0430,14.50,
2026-07-06 11:25:00,513310,6.0750,sell,达到日内止盈 0.70%,sell,filled,500,6.0750,500,10025.50,10025.50,,,25.50,"本笔盈亏=11.00, 成本税费=5.00"
2026-07-06 11:26:00,513310,6.0970,buy,"强势收复VWAP并突破: price=6.097, vwap=5.997, prev_high=6.075",buy,filled,500,6.0970,500,6972.00,10020.50,500,6.1070,25.50,佣金=5.00
2026-07-06 11:27:00,513310,6.0900,hold,T仓继续持有,hold,no_order,,,,6972.00,10017.00,500,6.1070,25.50,
2026-07-06 11:28:00,513310,6.1280,sell,达到日内止盈 0.51%,sell,filled,500,6.1280,500,10031.00,10031.00,,,31.00,"本笔盈亏=5.50, 成本税费=5.00"
2026-07-06 11:29:00,513310,6.1480,buy,"强势收复VWAP并突破: price=6.148, vwap=6.021, prev_high=6.128",buy,filled,500,6.1480,500,6952.00,10026.00,500,6.1580,31.00,佣金=5.00
2026-07-06 11:30:00,513310,6.1900,sell,达到日内止盈 0.68%,sell,filled,500,6.1900,500,10042.00,10042.00,,,42.00,"本笔盈亏=11.00, 成本税费=5.00"
2026-07-06 13:01:00,513310,6.1890,hold,未出现VWAP收复突破,hold,no_order,,,,10042.00,10042.00,,,42.00,
2026-07-06 13:02:00,513310,6.1800,hold,未出现VWAP收复突破,hold,no_order,,,,10042.00,10042.00,,,42.00,
2026-07-06 13:03:00,513310,6.1380,hold,未出现VWAP收复突破,hold,no_order,,,,10042.00,10042.00,,,42.00,
2026-07-06 13:04:00,513310,6.1450,hold,未出现VWAP收复突破,hold,no_order,,,,10042.00,10042.00,,,42.00,
